epoch accuracy precision recall F1-score       0       1       2       3       4       0       1       2       3       4       0       1       2       3       4
    1   52.400    54.179 52.400   52.011  75.000  89.744  34.783  33.871  37.500  84.000  70.000  48.000  42.000  18.000  79.245  78.652  40.336  37.500  24.324
    2   56.000    53.029 56.000   53.607  68.116  89.796  41.270  37.838  28.125  94.000  88.000  52.000  28.000  18.000  78.992  88.889  46.018  32.184  21.951
    3   53.600    56.656 53.600   52.588  86.047  88.889  35.238  27.273  45.833  74.000  80.000  74.000  18.000  22.000  79.570  84.211  47.742  21.687  29.730
    4   60.400    53.261 60.400   55.244  80.000  97.619  51.064  37.624   0.000  96.000  82.000  48.000  76.000   0.000  87.273  89.130  49.485  50.331   0.000
    5   51.600    49.207 51.600   45.607  61.250 100.000  50.000   0.000  34.783  98.000  50.000  30.000   0.000  80.000  75.385  66.667  37.500   0.000  48.485
    6   64.800    65.459 64.800   63.735  73.134 100.000  66.667  45.070  42.424  98.000  86.000  48.000  64.000  28.000  83.761  92.473  55.814  52.893  33.735
    7   65.200    65.276 65.200   64.442  87.273  95.918  56.522  40.000  46.667  96.000  94.000  52.000  56.000  28.000  91.429  94.949  54.167  46.667  35.000
    8   64.400    74.223 64.400   58.912  80.000  97.872  45.783 100.000  47.458  96.000  92.000  76.000   2.000  56.000  87.273  94.845  57.143   3.922  51.376
    9   68.000    67.863 68.000   67.092  80.328  97.917  60.000  60.000  41.071  98.000  94.000  66.000  36.000  46.000  88.288  95.918  62.857  45.000  43.396
   10   63.200    63.089 63.200   59.356  82.143  94.118  43.902  45.283  50.000  92.000  96.000  72.000  48.000   8.000  86.792  95.050  54.545  46.602  13.793
   11   66.400    70.032 66.400   64.935  84.211  97.959  69.231  58.333  40.426  96.000  96.000  36.000  28.000  76.000  89.720  96.970  47.368  37.838  52.778
   12   65.600    64.349 65.600   64.540  90.385  96.078  53.030  47.368  34.884  94.000  98.000  70.000  36.000  30.000  92.157  97.030  60.345  40.909  32.258
   13   64.400    67.907 64.400   60.736  75.385 100.000  40.816  63.333  60.000  98.000  94.000  80.000  38.000  12.000  85.217  96.907  54.054  47.500  20.000
   14   71.200    70.488 71.200   70.425  80.645  96.078  72.500  52.273  50.943 100.000  98.000  58.000  46.000  54.000  89.286  97.030  64.444  48.936  52.427
   15   63.600    63.718 63.600   62.837  71.014  97.500  56.250  49.091  44.737  98.000  78.000  54.000  54.000  34.000  82.353  86.667  55.102  51.429  38.636
   16   65.600    66.946 65.600   64.361  77.049  98.039  70.833  46.341  42.466  94.000 100.000  34.000  38.000  62.000  84.685  99.010  45.946  41.758  50.407
   17   56.800    66.979 56.800   55.391  54.348 100.000  87.500  51.020  42.029 100.000  48.000  28.000  50.000  58.000  70.423  64.865  42.424  50.505  48.739
