epoch accuracy precision recall F1-score       0       1       2       3       4       0       1       2       3       4       0       1       2       3       4
    1   18.766    19.801 19.961    9.817   0.000  50.000  18.862   9.091  21.053   0.000   1.266  87.500   1.282   9.756   0.000   2.469  31.034   2.247  13.333
    2   27.506    35.330 27.703   24.554  66.667  40.000  22.353  19.355  28.276  15.385  12.658  52.778   7.692  50.000  25.000  19.231  31.405  11.009  36.123
    3   49.100    55.912 48.690   47.894  87.500  62.025  50.820  38.571  40.645  26.923  62.025  43.056  34.615  76.829  41.176  62.025  46.617  36.486  53.165
    4   48.329    69.259 47.017   38.958  96.552  54.198 100.000  58.333  37.209  35.897  89.873   2.778   8.974  97.561  52.336  67.619   5.405  15.556  53.872
    5   51.414    71.109 50.082   41.175 100.000  65.455 100.000  47.619  42.473  10.256  91.139   1.389  51.282  96.341  18.605  76.190   2.740  49.383  58.955
    6   57.326    75.322 55.960   49.921 100.000  42.391 100.000  72.500  61.719  46.154  98.734   1.389  37.179  96.341  63.158  59.316   2.740  49.153  75.238
    7   58.869    77.699 57.602   53.523 100.000  39.500 100.000  74.468  74.528  38.462 100.000   8.333  44.872  96.341  55.556  56.631  15.385  56.000  84.043
    8   70.951    81.322 69.909   68.095 100.000  62.903 100.000  86.667  57.042  75.641  98.734  26.389  50.000  98.780  86.131  76.847  41.758  63.415  72.321
    9   84.833    87.356 84.482   84.562  98.529  76.471  98.148  87.931  75.701  85.897  98.734  73.611  65.385  98.780  91.781  86.188  84.127  75.000  85.714
   10   84.319    86.917 84.051   83.893  98.507  71.818  96.610  88.235  79.412  84.615 100.000  79.167  57.692  98.780  91.034  83.598  87.023  69.767  88.043
   11   86.118    87.716 85.874   85.882  97.143  81.915  96.667  86.441  76.415  87.179  97.468  80.556  65.385  98.780  91.892  89.017  87.879  74.453  86.170
   12   87.147    88.033 86.896   86.660  91.250  87.640  96.667  85.965  78.641  93.590  98.734  80.556  62.821  98.780  92.405  92.857  87.879  72.593  87.568
   13   89.203    89.648 89.036   88.858  94.937  93.902  92.537  86.667  80.198  96.154  97.468  86.111  66.667  98.780  95.541  95.652  89.209  75.362  88.525
   14   88.432    88.747 88.270   87.892  89.412  93.827  91.176  87.500  81.818  97.436  96.203  86.111  62.821  98.780  93.252  95.000  88.571  73.134  89.503
   15   90.488    90.521 90.318   90.208  92.593  93.902  93.939  85.075  87.097  96.154  97.468  86.111  73.077  98.780  94.340  95.652  89.855  78.621  92.571
   16   90.746    90.995 90.583   90.555  96.053  95.062  94.030  85.294  84.536  93.590  97.468  87.500  74.359 100.000  94.805  96.250  90.647  79.452  91.620
   17   92.031    92.313 91.826   91.936  96.104  95.062  96.774  82.716  90.909  94.872  97.468  83.333  85.897  97.561  95.484  96.250  89.552  84.277  94.118
   18   91.517    91.717 91.356   91.434  96.104  93.902  96.875  81.818  89.888  94.872  97.468  86.111  80.769  97.561  95.484  95.652  91.176  81.290  93.567
   19   92.288    92.965 92.135   92.371  96.053 100.000  96.875  77.778  94.118  93.590  93.671  86.111  89.744  97.561  94.805  96.732  91.176  83.333  95.808
   20   92.545    93.027 92.388   92.583  96.104 100.000  95.385  78.409  95.238  94.872  94.937  86.111  88.462  97.561  95.484  97.403  90.511  83.133  96.386
   21   94.344    94.875 94.192   94.366  98.667  98.684  96.923  81.319  98.780  94.872  94.937  87.500  94.872  98.780  96.732  96.774  91.971  87.574  98.780
   22   93.316    93.737 93.160   93.310  97.368  93.976  98.413  81.395  97.531  94.872  98.734  86.111  89.744  96.341  96.104  96.296  91.852  85.366  96.933
   23   93.830    94.146 93.661   93.782  96.104  95.122  98.413  83.529  97.561  94.872  98.734  86.111  91.026  97.561  95.484  96.894  91.852  87.117  97.561
   24   92.802    93.222 92.679   92.848  97.368  97.403  95.455  79.545  96.341  94.872  94.937  87.500  89.744  96.341  96.104  96.154  91.304  84.337  96.341
   25   94.087    94.420 93.942   94.077  98.684  95.062  98.438  83.529  96.386  96.154  97.468  87.500  91.026  97.561  97.403  96.250  92.647  87.117  96.970
   26   93.316    93.755 93.154   93.317  97.368  95.000  98.413  81.609  96.386  94.872  96.203  86.111  91.026  97.561  96.104  95.597  91.852  86.061  96.970
   27   93.573    94.180 93.411   93.617  98.667  97.436  98.413  80.000  96.386  94.872  96.203  86.111  92.308  97.561  96.732  96.815  91.852  85.714  96.970
   28   93.573    94.005 93.408   93.568  97.368  96.250  98.413  81.609  96.386  94.872  97.468  86.111  91.026  97.561  96.104  96.855  91.852  86.061  96.970
   29   93.573    94.102 93.405   93.579  96.104  96.104  98.413  81.111  98.780  94.872  93.671  86.111  93.590  98.780  95.484  94.872  91.852  86.905  98.780
   30   93.830    94.671 93.670   93.900  98.649  96.154 100.000  79.787  98.765  93.590  94.937  86.111  96.154  97.561  96.053  95.541  92.537  87.209  98.160
   31   93.573    93.941 93.444   93.585  96.000  98.684  96.970  82.759  95.294  92.308  94.937  88.889  92.308  98.780  94.118  96.774  92.754  87.273  97.006
   32   93.573    93.983 93.423   93.578  98.649  94.937  96.923  81.818  97.590  93.590  94.937  87.500  92.308  98.780  96.053  94.937  91.971  86.747  98.182
   33   94.602    94.876 94.454   94.557  98.630  98.701  95.522  85.057  96.471  92.308  96.203  88.889  94.872 100.000  95.364  97.436  92.086  89.697  98.204
   34   93.059    93.330 92.907   93.028  97.333  96.203  96.923  84.146  92.045  93.590  96.203  87.500  88.462  98.780  95.425  96.203  91.971  86.250  95.294
   35   95.116    95.463 94.939   95.068  98.667  96.296 100.000  85.882  96.471  94.872  98.734  87.500  93.590 100.000  96.732  97.500  93.333  89.571  98.204
   36   94.087    94.420 93.966   94.081  98.630  96.203  96.970  85.057  95.238  92.308  96.203  88.889  94.872  97.561  95.364  96.203  92.754  89.697  96.386
   37   95.116    95.658 94.980   95.151  98.667  98.701 100.000  83.333  97.590  94.872  96.203  88.889  96.154  98.780  96.732  97.436  94.118  89.286  98.182
   38   95.630    95.821 95.519   95.604  98.649  98.718  97.059  87.059  97.619  93.590  97.468  91.667  94.872 100.000  96.053  98.089  94.286  90.798  98.795
   39   94.602    94.707 94.506   94.566  97.297  96.250  95.652  86.747  97.590  92.308  97.468  91.667  92.308  98.780  94.737  96.855  93.617  89.441  98.182
   40   95.116    95.332 95.007   95.097  98.630  97.468  97.059  85.882  97.619  92.308  97.468  91.667  93.590 100.000  95.364  97.468  94.286  89.571  98.795
   41   94.344    94.557 94.216   94.304  93.750  93.976 100.000  87.500  97.561  96.154  98.734  88.889  89.744  97.561  94.937  96.296  94.118  88.608  97.561
   42   94.602    94.966 94.445   94.579  96.154  96.203 100.000  84.884  97.590  96.154  96.203  87.500  93.590  98.780  96.154  96.203  93.333  89.024  98.182
   43   94.602    94.806 94.500   94.585  97.297  97.403  95.652  84.884  98.795  92.308  94.937  91.667  93.590 100.000  94.737  96.154  93.617  89.024  99.394
   44   94.344    94.527 94.213   94.288  97.222  97.500  95.588  84.706  97.619  89.744  98.734  90.278  92.308 100.000  93.333  98.113  92.857  88.344  98.795
   45   93.830    93.950 93.657   93.723  97.368  91.765  96.923  86.076  97.619  94.872  98.734  87.500  87.179 100.000  96.104  95.122  91.971  86.624  98.795
   46   94.859    95.082 94.732   94.841  97.368  98.701  97.015  84.706  97.619  94.872  96.203  90.278  92.308 100.000  96.104  97.436  93.525  88.344  98.795
   47   94.087    94.790 93.973   94.185  98.667 100.000  98.462  80.435  96.386  94.872  93.671  88.889  94.872  97.561  96.732  96.732  93.431  87.059  96.970
   48   94.087    94.519 93.917   94.079  96.000  98.718  98.438  81.818  97.619  92.308  97.468  87.500  92.308 100.000  94.118  98.089  92.647  86.747  98.795
   49   94.087    94.268 93.963   94.055  96.000  97.436  97.015  85.542  95.349  92.308  96.203  90.278  91.026 100.000  94.118  96.815  93.525  88.199  97.619
   50   93.573    93.662 93.471   93.528  97.260  95.000  94.286  84.146  97.619  91.026  96.203  91.667  88.462 100.000  94.040  95.597  92.958  86.250  98.795
   51   94.344    94.926 94.155   94.323  98.630  98.701  98.413  82.418  96.471  92.308  96.203  86.111  96.154 100.000  95.364  97.436  91.852  88.757  98.204
   52   93.830    94.324 93.676   93.843  97.297  97.436  98.438  82.022  96.429  92.308  96.203  87.500  93.590  98.780  94.737  96.815  92.647  87.425  97.590
